Season,Type,Program,Competition,Scores,Ranking
2008,SP,Bolero,全日青,64.50,8
2008,LP,Paganini,全日青,117.15,5
2008,SUM,,全日青,181.65,8
2008,SP,Bolero,JWC,58.18,11
2008,LP,Paganini,JWC,103.59,13
2008,SUM,,JWC,161.77,12
2009,SP,Mission Impossible,JGPF,69.85,3
2009,LP,Paganini,JGPF,136.92,1
2009,SUM,,JGPF,206.77,1
2009,SP,Mission Impossible,JWC,68.75,3
2009,LP,Paganini,JWC,147.35,1
2009,SUM,,JWC,216.10,1
2010,SP,White Legend,GPS NHK,69.31,5
2010,LP,Zigeunerweisen ,GPS NHK,138.41,4
2010,SUM,,GPS NHK,207.72,4
2010,SP,White Legend,GPS CoR,70.24,6
2010,LP,Zigeunerweisen ,GPS CoR,132.42,6
2010,SUM,,GPS CoR,202.66,7
2010,SP,White Legend,全日,78.92,2
2010,LP,Zigeunerweisen ,全日,141.12,4
2010,SUM,,全日,220.06,4
2010,SP,White Legend,4CC,76.43,3
2010,LP,Zigeunerweisen ,4CC,151.58,3
2010,SUM,,4CC,228.01,2
2011,SP,悲怆,Challenger Nebelhorn,75.26,1
2011,LP,罗朱1.0,Challenger Nebelhorn,151.00,1
2011,SUM,,Challenger Nebelhorn,226.26,1
2011,SP,悲怆,GPS CoC,81.37,2
2011,LP,罗朱1.0,GPS CoC,145.16,4
2011,SUM,,GPS CoC,226.53,4
2011,SP,悲怆,GPS CoR,82.78,2
2011,LP,罗朱1.0,GPS CoR,158.88,2
2011,SUM,,GPS CoR,241.66,1
2011,SP,悲怆,GPF,79.33,4
2011,LP,罗朱1.0,GPF,166.49,3
2011,SUM,,GPF,245.82,4
2011,SP,悲怆,全日,74.32,4
2011,LP,罗朱1.0,全日,167.59,1
2011,SUM,,全日,241.91,3
2011,SP,悲怆,WC,77.07,7
2011,LP,罗朱1.0,WC,173.99,2
2011,SUM,,WC,251.06,3
2012,SP,巴散1.0,Challenger Finlandia,75.57,2
2012,LP,Notre Dame,Challenger Finlandia,172.56,1
2012,SUM,,Challenger Finlandia,248.13,1
2012,SP,巴散1.0,GPS SA,95.07,1
2012,LP,Notre Dame,GPS SA,148.67,3
2012,SUM,,GPS SA,243.74,2
2012,SP,巴散1.0,GPS NHK,95.32,1
2012,LP,Notre Dame,GPS NHK,165.71,1
2012,SUM,,GPS NHK,261.03,1
2012,SP,巴散1.0,GPF,87.17,3
2012,LP,Notre Dame,GPF,177.12,2
2012,SUM,,GPF,264.29,2
2012,SP,巴散1.0,全日,97.68,1
2012,LP,Notre Dame,全日,187.55,2
2012,SUM,,全日,285.23,1
2012,SP,巴散1.0,4CC,87.65,1
2012,LP,Notre Dame,4CC,158.73,3
2012,SUM,,4CC,246.38,2
2012,SP,巴散1.0,WC,75.94,9
2012,LP,Notre Dame,WC,169.05,3
2012,SUM,,WC,244.99,4
2013,SP,巴散2.0,Challenger Finlandia,84.66,1
2013,LP,罗朱2.0,Challenger Finlandia,180.93,1
2013,SUM,,Challenger Finlandia,265.59,1
2013,SP,巴散2.0,GPS SC,80.40,3
2013,LP,罗朱2.0,GPS SC,154.40,2
2013,SUM,,GPS SC,234.8,2
2013,SP,巴散2.0,GPS TEB,95.37,2
2013,LP,罗朱2.0,GPS TEB,168.22,2
2013,SUM,,GPS TEB,263.59,2
2013,SP,巴散2.0,GPF,99.84,1
2013,LP,罗朱2.0,GPF,193.41,1
2013,SUM,,GPF,293.25,1
2013,SP,巴散2.0,全日,103.1,1
2013,LP,罗朱2.0,全日,194.7,1
2013,SUM,,全日,297.8,1
2013,SP,巴散2.0,OG,101.45,1
2013,LP,罗朱2.0,OG,178.64,1
2013,SUM,,OG,280.09,1
2013,SP,巴散2.0,WC,91.24,3
2013,LP,罗朱2.0,WC,191.35,1
2013,SUM,,WC,282.59,1
2014,SP,叙一 1.0,GPS CoC,82.95,2
2014,LP,魅影,GPS CoC,154.60,2
2014,SUM,,GPS CoC,237.55,2
2014,SP,叙一 1.0,GPS NHK,78.01,5
2014,LP,魅影,GPS NHK,151.79,3
2014,SUM,,GPS NHK,229.8,4
2014,SP,叙一 1.0,GPF,94.08,1
2014,LP,魅影,GPF,194.08,1
2014,SUM,,GPF,288.16,1
2014,SP,叙一 1.0,全日,94.36,1
2014,LP,魅影,全日,192.50,1
2014,SUM,,全日,286.86,1
2014,SP,叙一 1.0,WC,95.20,1
2014,LP,魅影,WC,175.88,3
2014,SUM,,WC,271.08,2
2014,SP,叙一 1.0,WTT,96.27,1
2014,LP,魅影,WTT,192.31,1
2014,SUM,,WTT,288.58,1
2015,SP,叙一 2.0,SCACI,93.14,1
2015,LP,SEIMEI 1.0,SCACI,184.05,1
2015,SUM,,SCACI,277.19,1
2015,SP,叙一 2.0,GPS SC,73.25,6
2015,LP,SEIMEI 1.0,GPS SC,186.29,2
2015,SUM,,GPS SC,259.54,2
2015,SP,叙一 2.0,GPS NHK,106.33,1
2015,LP,SEIMEI 1.0,GPS NHK,216.07,1
2015,SUM,,GPS NHK,322.40,1
2015,SP,叙一 2.0,GPF,110.95,1
2015,LP,SEIMEI 1.0,GPF,219.48,1
2015,SUM,,GPF,330.43,1
2015,SP,叙一 2.0,全日,102.63,1
2015,LP,SEIMEI 1.0,全日,183.73,1
2015,SUM,,全日,286.36,1
2015,SP,叙一 2.0,WC,110.56,1
2015,LP,SEIMEI 1.0,WC,184.61,3
2015,SUM,,WC,295.17,2
2016,SP,走疯,SCACI,88.30,1
2016,LP,希望与遗赠,SCACI,172.27,1
2016,SUM,,SCACI,260.57,1
2016,SP,走疯,GPS SC,79.65,4
2016,LP,希望与遗赠,GPS SC,183.41,1
2016,SUM,,GPS SC,263.06,2
2016,SP,走疯,GPS NHK,103.89,1
2016,LP,希望与遗赠,GPS NHK,197.58,1
2016,SUM,,GPS NHK,301.47,1
2016,SP,走疯,GPF,106.53,1
2016,LP,希望与遗赠,GPF,187.37,3
2016,SUM,,GPF,293.90,1
2016,SP,走疯,4CC,97.04,3
2016,LP,希望与遗赠,4CC,206.67,1
2016,SUM,,4CC,303.71,2
2016,SP,走疯,WC,98.39,5
2016,LP,希望与遗赠,WC,223.20,1
2016,SUM,,WC,321.59,1
2016,SP,走疯,WTT,83.51,7
2016,LP,希望与遗赠,WTT,200.49,1
2016,SUM,,WTT,284,3
2017,SP,叙一 3.0,SCACI,112.72,1
2017,LP,SEIMEI 2.0,SCACI,155.52,5
2017,SUM,,SCACI,268.24,2
2017,SP,叙一 3.0,GPS CoR,94.85,2
2017,LP,SEIMEI 2.0,GPS CoR,195.92,1
2017,SUM,,GPS CoR,290.77,2
2017,SP,叙一 3.0,OG,111.68,1
2017,LP,SEIMEI 2.0,OG,206.17,2
2017,SUM,,OG,317.85,1
